rank,score,team_name,kaggle_usernames,last_submission,submission_count
1,3065.8,"Crop Dusta",rishigottumukkala,2026-08-23 12:07:11,2
2,3057.7,"Ryo Hasegawa",ryohasegawa926,2026-08-19 04:08:02,2
3,2959.6,"Subramanya N",subramanya1997,2026-08-19 05:54:18,2
4,2900.5,"Arman Tuganbaev",armantuganbaev,2026-08-24 14:45:33,2
5,2893.8,"taiseiu",taiseiu,2026-08-24 10:13:55,2
6,2882.8,"Kronki",kronki,2026-08-24 10:38:04,2
7,2858.0,"Yizuki",yinzimike,2026-08-24 03:29:01,2
8,2849.6,"Aurora",niteshranjansingh,themeghajoshi,2026-08-24 15:29:02,2
9,2830.9,"Akhil Chinta",akhilchinta1505,2026-08-25 00:00:25,2
10,2812.0,"tyz123456",tyz123456,2026-08-25 02:24:35,2
11,2803.0,"OceanMix",cggonzalezsc,fierus,liesvyvalladares,2026-08-25 01:13:49,2
12,2797.1,"G!vIOne",gvione,2026-08-24 14:11:25,2
13,2795.6,"tetsuya",tetsuya3510,2026-08-24 06:25:12,2
14,2791.4,"nao.kwmr",naokwmr,2026-08-24 04:56:07,2
15,2765.1,"GUAM",jeongminlee92,kmmmvs,2026-08-24 14:27:01,2
16,2759.6,"WeAreFarmers",gbmorris1,2026-08-24 23:05:07,2
17,2757.4,"Bharath Varma",bharath111l,2026-08-24 21:39:15,2
18,2754.2,"u",apostoloskontarinis,curbotron13,halzweiman,josephmcgonaglebrown,shreyanshpoddar,2026-08-25 00:18:29,2
19,2750.3,"Arda Ceylan",ardacey,2026-08-24 12:29:44,2
20,2734.4,"Lenin Goud",leningoud,2026-08-24 13:45:49,2
21,2730.7,"Suneeth reddy",suneethreddy,2026-08-24 15:35:14,2
22,2729.3,"Zejun_",zejunfool,2026-08-24 17:11:21,2
23,2727.0,"Egor Trushin",egortrushin,2026-08-24 16:37:59,2
24,2725.7,"カワシギ",kawashigi,2026-08-17 14:08:48,2
25,2723.4,"UjjwalPardeshi",ujjwalpardeshi,2026-08-24 22:20:27,2
26,2722.7,"Erfan Eshratifar",erfaneshrati,2026-08-25 00:55:05,2
27,2714.0,"Terry Luo",eimhluo1764,2026-08-25 03:43:18,2
28,2708.1,"Lucien de Rubempre",lucienderubempre,2026-08-24 17:35:45,2
29,2705.5,"Homii_N",homeshwarrao,2026-08-24 21:14:01,2
30,2704.4,"Ömer Faruk Yüce",merfarukyce,2026-08-24 00:00:21,2
31,2702.9,"Tagir Analyzes",tagirkhairutdinov,2026-08-23 22:31:31,2
32,2699.3,"Aurora wy",aurorawy,2026-08-24 22:33:16,2
33,2695.5,"Mforg",mforg74911,2026-08-24 18:32:29,2
34,2693.2,"GPTatoes",angran,kaixuanosmas,2026-08-24 00:16:14,2
35,2691.6,"test_money",michaelsemenoff,2026-08-23 23:02:08,2
36,2690.3,"Tom3",tomohiroaz,2026-08-25 02:23:25,2
37,2685.8,"yuxuan",yuxuan1221,2026-08-25 01:07:52,2
38,2683.3,"fufufukakaka",fufufukakaka,2026-08-24 08:20:19,2
39,2683.1,"Nadeem",nadeembinshajahan,2026-08-25 01:26:36,2
40,2679.8,"MiMi",frank0921,rickytsou,2026-08-24 11:42:08,2
41,2674.0,"tingyu516",tingyu516,2026-08-24 06:05:33,2
42,2665.0,"UtaAzu",utaazu,2026-08-24 21:14:15,2
43,2653.9,"Emre Cirak",biohack44,2026-08-23 20:40:31,2
44,2652.6,"theredbluepill",poonszesen,2026-08-23 08:28:51,2
45,2652.0,"satoooh",satoooh,2026-08-23 16:12:51,2
46,2645.3,"shinamonmon",shinamonmon,2026-08-24 03:05:45,2
47,2644.8,"Jiro314",amonkizawa,2026-08-25 05:26:03,2
48,2643.3,"johnny",jonykarki,2026-08-25 01:39:04,2
49,2642.4,"Hongxin Su",hongxinsu,2026-08-24 10:54:01,2
50,2637.9,"Victor @ Tufa Labs",vmerckle,2026-08-19 18:37:51,2
51,2632.5,"StackKnight",stackknight,2026-08-24 07:55:17,2
52,2628.1,"Kaileh57",kaileh57,2026-08-25 02:51:14,2
53,2627.4,"ReCurSiON",ashok205,2026-08-14 14:14:52,2
54,2627.1,"Dude and Destroy",raymondbrookman,2026-08-24 08:06:30,2
55,2626.5,"srijan k.r keshri",srijankrkeshri,2026-08-21 04:29:38,2
56,2622.3,"OxFFFs",oxfffs,2026-08-24 13:49:44,1
57,2616.8,"Ivan Aleksandrov",ivanblch,2026-08-24 21:49:35,1
58,2616.7,"SOSyuki",sosyuki,2026-08-24 14:40:25,2
59,2597.2,"Danzzzl",okunevda,2026-08-24 21:27:08,2
60,2595.6,"Xiaowenhao404",xiaowenhao404,2026-08-25 03:30:32,2
61,2587.6,"Raul Tinajero",raultinajeroo,2026-08-25 02:23:39,2
62,2584.4,"Pascal",pascalledesma,2026-08-24 09:02:52,2
63,2583.4,"Kaan Dınız",kaandnz,2026-08-21 15:14:01,2
64,2583.1,"shivam saini",shivam98saini,2026-08-24 12:27:24,2
65,2581.5,"TommyCyd",tommycyd,2026-08-24 17:17:09,2
66,2578.7,"Darshan Makwana",ellipticaloranges,2026-08-24 04:10:09,2
67,2578.5,"shiiin9",shiiin9,2026-08-22 18:36:57,2
68,2568.0,"kaggricultureomnidimensionalut",kumarandatascientist,2026-08-24 05:41:47,2
69,2560.2,"Igor V",rostigor,2026-08-24 21:20:36,2
70,2558.8,"enddl22",enddl22,2026-08-23 23:26:50,2
71,2555.9,"Collin Christensen",cchristens,2026-08-25 05:46:01,2
72,2555.6,"Will",wguesdon,2026-08-24 21:06:36,2
73,2549.6,"SaiKushal185",saikushal185,2026-08-23 17:05:40,2
74,2549.3,"MMM Abbie",kchuang,2026-08-24 04:41:26,2
75,2548.2,"Kazama Yusuke",kazamayusuke,2026-08-24 17:05:28,2
76,2542.9,"mandgeee",mandgeee,2026-08-24 16:58:30,2
77,2541.7,"Dmitry Larko",dmitrylarko,2026-08-24 21:54:19,2
78,2541.1,"Stephen Schott",steve421471,2026-08-23 20:37:19,2
79,2540.7,"hengck23",hengck23,2026-08-24 03:08:07,2
80,2537.8,"James Holland",jkhollandjr,2026-08-17 01:40:17,2
81,2534.4,"lelelove1225",lelelove1225,2026-08-23 04:14:27,2
82,2530.8,"Jasper Turnidge",jasperturnidge,2026-08-24 06:36:23,2
83,2530.3,"katya barzova",nipah1,sigmaborov,2026-08-24 20:01:05,2
84,2528.0,"Chika Komari",gothamjocker,2026-08-25 03:09:46,2
85,2525.7,"QQ Farming",dzjiann,mitubant,ngyzly,2026-08-23 06:34:52,4
86,2525.6,"Toru59er",toru59er,2026-08-25 03:53:14,2
