Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16714457,"Crop Dusta","2026-08-23 12:07:11",3113.2,2,rishigottumukkala
2,16644287,"Ryo Hasegawa","2026-08-19 04:08:02",2979.1,2,ryohasegawa926
3,16705390,"Subramanya N","2026-08-25 16:45:45",2963.6,2,subramanya1997
4,16730065,Blu3s,"2026-08-25 20:50:49",2889.7,2,atteincueo
5,16623716,tetsuya,"2026-08-24 06:25:12",2875.4,2,tetsuya3510
6,16731186,Naru041104,"2026-08-27 03:49:48",2874.9,2,naru041104
7,16764431,"William Diment","2026-08-27 08:31:01",2872.4,2,williamdiment
8,16641536,"Michael Timbs","2026-08-27 07:30:56",2822.0,2,michaeltimbs
9,16777394,antadam127,"2026-08-26 23:36:44",2813.2,2,antadam127
10,16671476,"Mingkang YAN","2026-08-26 08:13:57",2807.0,2,mingkangyan
11,16670032,Kenjo1209,"2026-08-27 12:52:54",2802.9,2,kenjo1209
12,16704466,"QQ Farming","2026-08-26 16:26:25",2799.0,2,"dzjiann,mitubant,ngyzly"
13,16715733,peikopon,"2026-08-27 10:38:37",2780.2,2,peikopon
14,16671767,Kaileh57,"2026-08-27 02:39:41",2777.3,2,kaileh57
15,16763767,"Carson Zhang","2026-08-27 07:40:15",2752.6,2,zmcddn
16,16657316,SCNU,"2026-08-27 09:29:40",2750.6,2,jasonxusk
17,16665224,tyz123456,"2026-08-25 16:52:50",2749.9,2,tyz123456
18,16686827,Kronki,"2026-08-26 12:41:40",2749.6,2,kronki
19,16685548,"Erfan Eshratifar","2026-08-26 08:11:11",2749.5,2,erfaneshrati
20,16732521,redblackbst,"2026-08-26 23:36:29",2745.3,2,redblackbst
21,16727266,ebisu_ya,"2026-08-26 10:56:36",2740.4,2,ebisuya
22,16730076,SJY321,"2026-08-27 01:42:49",2736.0,2,sjy321
23,16751820,yy,"2026-08-27 07:43:20",2711.1,2,hirokiyamazaki
24,16623398,"Kaggle Agent","2026-08-27 02:55:26",2698.8,2,"jiweiliu,tonylica"
25,16700846,"Vaibhav Patel","2026-08-27 08:29:43",2696.4,2,vaibhavpatel
26,16623608,"Dmitry Larko","2026-08-26 04:51:09",2695.7,2,dmitrylarko
27,16732578,nao.kwmr,"2026-08-26 02:20:19",2685.9,2,naokwmr
28,16745006,UjjwalPardeshi,"2026-08-26 20:33:37",2685.0,2,ujjwalpardeshi
29,16631115,prvsiyan,"2026-08-27 14:09:11",2664.3,2,prvsiyan
30,16668783,Zyy7390,"2026-08-27 00:01:46",2659.9,2,"tigerrrrrr,zyy7390"
31,16732714,Mforg,"2026-08-27 10:28:07",2654.7,2,mforg74911
32,16626582,"Omer Faruk Merey","2026-08-26 16:40:15",2651.5,2,omerfarukmerey
33,16665402,PrasadChopade213,"2026-08-27 06:38:29",2625.0,2,prasadchopade213
34,16738759,YJR,"2026-08-27 03:43:41",2617.4,2,misakamikoto66
35,16623451,Ueddy,"2026-08-25 02:25:20",2616.9,2,ku0807
36,16653044,"Bửu Phạm Quốc","2026-08-27 03:53:10",2613.9,2,buphmquc
37,16623990,senkin13,"2026-08-27 13:14:10",2610.8,2,senkin13
38,16749003,CroDoc,"2026-08-27 07:20:20",2610.6,2,crodoc
39,16693215,"Izzoudine Mohamed KANTA","2026-08-27 05:32:52",2603.9,2,izzoudeenkanta
40,16705659,"srijan k.r keshri","2026-08-27 10:28:38",2603.3,2,srijankrkeshri
41,16750416,G!vIOne,"2026-08-27 05:07:02",2602.0,2,gvione
42,16654490,"Furious Monk","2026-08-27 13:27:37",2599.3,2,furiousmonk
43,16655477,Aurora,"2026-08-26 17:24:53",2593.2,2,"niteshranjansingh,themeghajoshi"
44,16642570,"Mathurin Ache","2026-08-26 07:01:10",2592.5,2,mathurinache
45,16689430,"Terry Luo","2026-08-25 03:43:18",2586.3,2,eimhluo1764
46,16669810,CREART,"2026-08-27 06:42:41",2581.2,2,gustardust
47,16664537,"Lenin Goud","2026-08-27 01:07:37",2579.5,2,leningoud
48,16674312,yuxuan,"2026-08-25 01:07:52",2578.8,2,yuxuan1221
49,16682932,"Iulian Curte","2026-08-25 18:31:40",2572.7,2,iuliancurte
50,16762302,OxFFFs,"2026-08-24 13:49:44",2572.7,1,oxfffs
51,16698999,Odyssey,"2026-08-25 16:02:45",2571.3,2,a1spirit
52,16674385,"qr farm","2026-08-26 17:23:55",2571.1,2,qrz1201
53,16685450,Nadeem,"2026-08-25 09:21:14",2568.7,2,nadeembinshajahan
54,16657277,"Dude and Destroy","2026-08-26 07:40:12",2564.9,2,raymondbrookman
55,16663867,"Stephen Schott","2026-08-23 20:37:19",2560.2,2,steve421471
56,16658946,theredbluepill,"2026-08-23 08:28:51",2558.2,2,poonszesen
57,16764089,UtaAzu,"2026-08-24 21:14:15",2557.4,2,utaazu
58,16693904,DeeperNet,"2026-08-26 15:04:39",2550.6,2,deepernet
59,16630015,星之海,"2026-08-25 17:27:51",2549.3,2,web3cainiao
60,16622842,Will,"2026-08-25 10:14:27",2548.4,2,wguesdon
61,16663946,"Hello San Francisco","2026-08-26 13:46:42",2543.3,2,"circiumaru,dulgherustefan,radugoga"
62,16757635,"Sridip Basu","2026-08-27 02:46:10",2542.9,2,sridipbasu
63,16639507,Homii_N,"2026-08-24 21:14:01",2542.4,2,homeshwarrao
64,16736124,GIN,"2026-08-27 05:37:28",2540.9,2,runjinzhang
65,16728084,iwance,"2026-08-24 12:23:07",2539.3,2,iwance
66,16666805,Kaggs,"2026-08-27 09:16:26",2536.5,2,ayush21042004
67,16663649,"Akhil Chinta","2026-08-27 04:24:26",2533.0,2,akhilchinta1505
68,16659555,"Joseph Adamski","2026-08-27 11:34:43",2528.6,2,josephadamski91
69,16626732,islet,"2026-08-26 01:51:42",2525.0,2,kojimar
70,16763200,"Alexander Nord","2026-08-27 11:11:06",2522.3,2,alexandernord123
71,16748866,masayoshi,"2026-08-26 06:30:23",2521.7,2,masayoshi64
72,16766498,"Castian Hans","2026-08-25 19:48:03",2521.2,2,castianhans
73,16639771,"DK Armada","2026-08-26 07:49:44",2519.0,2,dkarmada
74,16670276,"Egor Trushin","2026-08-24 16:37:59",2518.9,2,egortrushin
75,16666442,"SHALWIN SANJU","2026-08-26 14:30:19",2515.7,2,shalwinsanju
76,16730049,"r2d2 Dasari","2026-08-26 23:25:10",2511.3,2,r2d2dasari
77,16657785,"Himanshu Kumar","2026-08-26 12:50:27",2508.3,2,himanshujha2812
78,16716078,WENJIE_Wang,"2026-08-25 14:21:52",2507.0,2,"jenzenhuang,wafflebear,wenjiewangdev"
