Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16714457,"Crop Dusta","2026-09-01 02:01:06",3007.0,2,rishigottumukkala
2,16651244,"Knight of Favonius","2026-09-03 14:04:54",2961.3,2,ladyfaye
3,16674508,"Giulio Ravasio","2026-09-03 07:34:49",2939.4,2,giuliorav
4,16633790,curiosity,"2026-09-03 10:57:31",2914.6,2,chmffwn1
5,16622898,"sbol ball","2026-09-02 20:50:54",2907.9,2,"linearbasis,maksimkostritsya"
6,16623990,senkin13,"2026-09-03 15:45:20",2897.5,2,senkin13
7,16684093,"fog flower","2026-09-03 09:43:20",2895.0,2,fogflower
8,16657785,"Himanshu Kumar","2026-09-03 18:49:53",2894.3,2,himanshujha2812
9,16698308,Yuan800,"2026-09-03 13:44:36",2890.5,2,yuan800
10,16697229,"Masashi Nishimoto","2026-09-03 10:46:11",2890.2,2,masashinishimoto
11,16730676,ActiveMusyoku,"2026-09-03 12:54:41",2887.8,2,"daiki0381,kohei0okazaki,noriyukimori,ryonatori,seipon"
12,16632240,Deepseek的恩情还不完,"2026-09-03 17:30:04",2885.1,2,"iwanys,pedianeko,realybin"
13,16688294,"hft farming","2026-09-03 08:54:42",2885.0,2,"gunhcolab,hweowe,markslavin"
14,16795062,"Satoshi Nguyen","2026-09-03 13:09:51",2880.9,2,satoshinguyenai
15,16621243,"Jesse Bullard","2026-09-03 14:05:15",2877.3,2,jessebullard
16,16743647,bono,"2026-09-03 08:18:46",2868.9,2,kjoonha
17,16743484,"薄和叶 Lv.INF","2026-09-03 14:24:47",2866.7,2,lumine01
18,16772723,"Zhou Haonan","2026-09-03 13:07:49",2861.7,2,hatsuseizuna
19,16749061,"Wang H2O","2026-09-03 08:00:15",2856.1,2,wangh2o
20,16767215,keiz,"2026-09-03 19:10:56",2848.3,2,keizkeiz
21,16728071,AI是我的豆包,"2026-09-03 16:19:04",2846.7,2,"blht2026,wocenmma"
22,16712863,ominteam,"2026-09-03 12:28:59",2844.8,2,"luantony,suruikk"
23,16773041,Lixin73,"2026-09-03 12:36:37",2836.7,2,lixin73
24,16677337,"xi luo","2026-09-03 10:03:58",2834.0,2,xiluo00
25,16623630,noobanot,"2026-09-03 12:05:20",2830.5,2,noobanot
