=== Phase 1: classify 24 seeds (v25-LOW vs idle, both seats) ===
  seed  1 seat0: 145,359 esc=0 shops=['SMOOTHIE_SHOP', 'PIZZA_SHOP']
  seed  1 seat1: 165,155 esc=0 shops=['SMOOTHIE_SHOP', 'PIZZA_SHOP']
  seed  2 seat0: 154,100 esc=0 shops=['PIZZA_SHOP', 'ICE_CREAM_SHOP']
  seed  2 seat1: 154,100 esc=0 shops=['PIZZA_SHOP', 'ICE_CREAM_SHOP']
  seed  3 seat0: 141,420 esc=0 shops=['PIZZA_SHOP', 'FARMERS_MARKET']
  seed  3 seat1: 119,303 esc=0 shops=['PIZZA_SHOP', 'PIZZA_SHOP']
  seed  4 seat0: 165,444 esc=0 shops=['BRUNCH_SPOT', 'YARN_STORE']
  seed  4 seat1: 165,444 esc=0 shops=['BRUNCH_SPOT', 'YARN_STORE']
  seed  5 seat0: 135,813 esc=0 shops=['PET_CAFE', 'BAKERY']
  seed  5 seat1:  88,450 esc=0 shops=['PET_CAFE', 'YARN_STORE']
  seed  6 seat0: 128,456 esc=0 shops=['YARN_STORE', 'YARN_STORE']
  seed  6 seat1: 128,456 esc=0 shops=['YARN_STORE', 'YARN_STORE']
  seed  7 seat0: 146,564 esc=0 shops=['FARMERS_MARKET', 'YARN_STORE']
  seed  7 seat1: 146,564 esc=0 shops=['FARMERS_MARKET', 'YARN_STORE']
  seed  8 seat0: 123,748 esc=0 shops=['YARN_STORE', 'BAKERY']
  seed  8 seat1: 123,748 esc=0 shops=['YARN_STORE', 'BAKERY']
  seed  9 seat0: 162,010 esc=0 shops=['PIZZA_SHOP', 'SMOOTHIE_SHOP']
  seed  9 seat1: 168,405 esc=0 shops=['PIZZA_SHOP', 'SMOOTHIE_SHOP']
  seed 10 seat0: 149,134 esc=0 shops=['YARN_STORE', 'FARMERS_MARKET']
  seed 10 seat1: 149,134 esc=0 shops=['YARN_STORE', 'FARMERS_MARKET']
  seed 11 seat0: 127,137 esc=0 shops=['PIZZA_SHOP', 'BAKERY']
  seed 11 seat1: 136,297 esc=0 shops=['PIZZA_SHOP', 'BAKERY']
  seed 12 seat0: 161,832 esc=0 shops=['ICE_CREAM_SHOP', 'PET_CAFE']
  seed 12 seat1: 158,709 esc=0 shops=['ICE_CREAM_SHOP', 'PET_CAFE']
  seed 13 seat0: 155,958 esc=0 shops=['PET_CAFE', 'YARN_STORE']
  seed 13 seat1: 155,555 esc=0 shops=['PET_CAFE', 'YARN_STORE']
  seed 14 seat0: 163,845 esc=0 shops=['FARMERS_MARKET', 'SMOOTHIE_SHOP']
  seed 14 seat1: 163,845 esc=0 shops=['FARMERS_MARKET', 'SMOOTHIE_SHOP']
  seed 15 seat0: 171,582 esc=0 shops=['ICE_CREAM_SHOP', 'ICE_CREAM_SHOP']
  seed 15 seat1: 171,582 esc=0 shops=['ICE_CREAM_SHOP', 'ICE_CREAM_SHOP']
  seed 16 seat0: 136,672 esc=0 shops=['BAKERY', 'FARMERS_MARKET']
  seed 16 seat1: 136,672 esc=0 shops=['BAKERY', 'FARMERS_MARKET']
  seed 17 seat0: 159,794 esc=0 shops=['YARN_STORE', 'SMOOTHIE_SHOP']
  seed 17 seat1: 137,718 esc=0 shops=['YARN_STORE', 'SMOOTHIE_SHOP']
  seed 18 seat0: 128,911 esc=0 shops=['BRUNCH_SPOT', 'BAKERY']
  seed 18 seat1: 134,591 esc=0 shops=['BRUNCH_SPOT', 'BAKERY']
  seed 19 seat0: 142,051 esc=0 shops=['YARN_STORE', 'BAKERY']
  seed 19 seat1: 142,051 esc=0 shops=['YARN_STORE', 'BAKERY']
  seed 20 seat0: 153,051 esc=0 shops=['SMOOTHIE_SHOP', 'PIZZA_SHOP']
  seed 20 seat1: 153,051 esc=0 shops=['SMOOTHIE_SHOP', 'PIZZA_SHOP']
  seed 21 seat0: 155,352 esc=0 shops=['PET_CAFE', 'PIZZA_SHOP']
  seed 21 seat1: 127,172 esc=0 shops=['PET_CAFE', 'PIZZA_SHOP']
  seed 22 seat0: 139,548 esc=0 shops=['PIZZA_SHOP', 'YARN_STORE']
