Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16714457,"Crop Dusta","2026-09-01 02:01:06",3017.1,2,rishigottumukkala
2,16651244,"Knight of Favonius","2026-09-03 14:04:54",2955.0,2,ladyfaye
3,16674508,"Giulio Ravasio","2026-09-03 07:34:49",2929.1,2,giuliorav
4,16622898,"sbol ball","2026-09-02 20:50:54",2928.9,2,"linearbasis,maksimkostritsya"
5,16633790,curiosity,"2026-09-03 10:57:31",2908.7,2,chmffwn1
6,16623990,senkin13,"2026-09-03 15:45:20",2907.2,2,senkin13
7,16743484,"薄和叶 Lv.INF","2026-09-03 14:24:47",2891.1,2,lumine01
8,16657785,"Himanshu Kumar","2026-09-03 18:49:53",2889.8,2,himanshujha2812
9,16698308,Yuan800,"2026-09-03 13:44:36",2888.4,2,yuan800
10,16795062,"Satoshi Nguyen","2026-09-03 13:09:51",2887.5,2,satoshinguyenai
11,16743647,bono,"2026-09-03 08:18:46",2885.1,2,kjoonha
12,16632240,Deepseek的恩情还不完,"2026-09-03 17:30:04",2882.3,2,"iwanys,pedianeko,realybin"
13,16697229,"Masashi Nishimoto","2026-09-03 10:46:11",2882.1,2,masashinishimoto
14,16684093,"fog flower","2026-09-03 09:43:20",2879.2,2,fogflower
15,16688294,"hft farming","2026-09-03 08:54:42",2877.3,2,"gunhcolab,hweowe,markslavin"
16,16730676,ActiveMusyoku,"2026-09-03 12:54:41",2873.5,2,"daiki0381,kohei0okazaki,noriyukimori,ryonatori,seipon"
17,16728071,AI是我的豆包,"2026-09-03 16:19:04",2869.7,2,"blht2026,wocenmma"
18,16621243,"Jesse Bullard","2026-09-03 14:05:15",2861.5,2,jessebullard
19,16749061,"Wang H2O","2026-09-03 08:00:15",2856.0,2,wangh2o
20,16757809,dasfds,"2026-09-03 17:11:04",2849.9,2,dasfds
21,16767215,keiz,"2026-09-03 19:10:56",2847.3,2,keizkeiz
22,16772723,"Zhou Haonan","2026-09-03 13:07:49",2845.0,2,hatsuseizuna
23,16768603,Kinance,"2026-09-03 00:53:56",2841.7,2,kinance
24,16623630,noobanot,"2026-09-03 12:05:20",2840.5,2,noobanot
25,16712863,ominteam,"2026-09-03 12:28:59",2831.8,2,"luantony,suruikk"
26,16662883,OceanMix,"2026-09-03 03:37:27",2831.2,2,"cggonzalezsc,fierus,liesvyvalladares"
27,16677337,"xi luo","2026-09-03 10:03:58",2823.9,2,xiluo00
28,16807802,嘴爷,"2026-09-03 12:43:25",2821.8,2,zui0711
29,16773041,Lixin73,"2026-09-03 12:36:37",2816.3,2,lixin73
30,16684402,vn1111,"2026-09-03 13:49:48",2814.9,2,vn1111
31,16681405,"Yusuke Hayashi","2026-09-03 06:27:30",2810.6,2,yhay81
32,16635969,"Omkar Kadam","2026-09-03 15:02:38",2803.9,2,"itzzomkar,khanayanayub,princypaonam"
33,16749520,"Andrey Tikhomirov","2026-09-02 18:24:48",2802.9,2,andreytikhomirov
34,16735252,LagrangianLocomotive,"2026-09-03 19:42:12",2801.3,2,lagrangianlocomotive
35,16623608,"Dmitry Larko","2026-09-02 19:13:28",2799.9,2,dmitrylarko
36,16790585,wzyxp_123,"2026-09-03 11:19:04",2798.8,2,cloudssdut
37,16624484,"Tomoki Hirose","2026-09-02 15:58:38",2796.5,2,tomokihirose
38,16685763,"koren sabag","2026-09-03 04:49:26",2794.7,2,korensabag
39,16641524,AkiraIshikawa,"2026-09-03 15:29:14",2788.8,2,akiraishikawa
40,16701685,shawloong,"2026-09-03 13:58:40",2788.7,2,shawloong
41,16801457,"Who Stole My Vegetables?","2026-09-03 12:46:44",2782.9,2,subaru486
42,16778340,NayuNayu,"2026-09-03 08:24:46",2777.5,2,nayunayu1005
43,16820116,cotora2121,"2026-09-03 13:20:39",2774.3,1,cotora2121
44,16709967,Matsu,"2026-09-03 13:55:06",2774.1,2,matsuzawahayato
45,16665233,"Akash Deep","2026-09-03 18:22:52",2773.2,2,akashdeepo
46,16670041,tc-al,"2026-09-03 08:24:55",2772.8,2,bobmyersthesecond
