Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16714457,"Crop Dusta","2026-09-01 02:01:06",2926.0,2,rishigottumukkala
2,16698308,Yuan800,"2026-09-02 09:49:58",2925.2,2,yuan800
3,16660209,"Whyme Labs","2026-09-02 07:18:18",2911.6,2,whymelabs
4,16723620,3정훈,"2026-09-02 06:32:42",2899.1,2,az05192000gmailcom
5,16695664,Bantam,"2026-09-02 06:51:24",2884.1,2,bantam
6,16651244,"Knight of Favonius","2026-09-02 11:19:44",2857.4,2,ladyfaye
7,16756764,"Alperen Aydın","2026-09-02 08:45:18",2836.9,2,alperen5252525
8,16735094,RngRng,"2026-09-01 21:50:22",2834.9,2,rngrng
9,16632715,cmasch,"2026-09-02 08:54:55",2820.5,2,cmasch
10,16762735,"Zenith Ye","2026-09-02 02:25:46",2811.1,2,zenithye
11,16675063,"King Tian","2026-09-02 09:51:32",2810.7,2,tianwang1210
12,16689748,cheesytoasts,"2026-09-02 10:09:59",2806.7,2,cheesinnn
13,16623716,tetsuya,"2026-08-31 02:24:44",2802.6,2,tetsuya3510
14,16665809,"Saravanan Jaichandaran","2026-09-02 01:56:56",2799.1,2,saranchandar
15,16641169,boatlee,"2026-09-02 12:45:49",2766.7,2,boatlee
16,16656514,"Miku Dayo","2026-09-02 13:24:04",2765.2,2,praveensahukari
17,16741542,Jiro2,"2026-09-02 08:19:29",2764.5,2,amonkizawa
18,16631421,cg,"2026-09-02 10:56:17",2757.0,2,chaitanyagarg2
19,16762019,yukino,"2026-09-01 12:28:37",2757.0,2,"jifengjianhao666,mqingcs"
20,16723379,local,"2026-09-02 08:33:02",2753.5,2,matteo123383iend
21,16727103,sword3522,"2026-09-02 03:19:57",2743.4,2,"qinyanqiu,sword3522"
22,16721382,"Milan Leonard","2026-09-02 05:38:57",2737.3,2,milanleonard
23,16713262,"Seyit kaan Gunes","2026-09-02 11:37:57",2726.9,2,seyitkaangunes
24,16731186,Naru041104,"2026-09-02 11:05:51",2725.0,2,naru041104
25,16749520,"Andrey Tikhomirov","2026-09-01 09:25:32",2724.1,2,andreytikhomirov
26,16704466,"QQ Farming","2026-08-31 14:47:21",2718.7,2,"dzjiann,hdhsjdjd,mitubant,ngyzly"
27,16654068,"Renoir Vieira","2026-09-02 11:17:07",2713.8,2,renoirvieira0
